iter	Passed	Remaining
0	0	23
1	0	21
2	0	23
3	0	20
4	1	21
5	1	21
6	1	20
7	1	20
8	1	19
9	2	19
10	2	19
11	2	19
12	2	19
13	3	18
14	3	18
15	3	18
16	3	17
17	3	17
18	4	17
19	4	17
20	4	17
21	4	16
22	4	16
23	5	16
24	5	16
25	5	15
26	5	15
27	5	15
28	6	15
29	6	14
30	6	14
31	6	14
32	7	14
33	7	14
34	7	13
35	7	13
36	7	13
37	8	13
38	8	13
39	8	12
40	8	12
41	8	12
42	9	11
43	9	11
44	9	11
45	9	11
46	9	11
47	10	10
48	10	10
49	10	10
50	10	10
51	11	10
52	11	9
53	11	9
54	11	9
55	11	9
56	11	9
57	12	8
58	12	8
59	12	8
60	12	8
61	13	7
62	13	7
63	13	7
64	13	7
65	13	7
66	14	6
67	14	6
68	14	6
69	14	6
70	14	6
71	15	5
72	15	5
73	15	5
74	15	5
75	15	5
76	16	4
77	16	4
78	16	4
79	16	4
80	17	4
81	17	3
82	17	3
83	17	3
84	17	3
85	18	2
86	18	2
87	18	2
88	18	2
89	19	2
90	19	1
91	19	1
92	19	1
93	19	1
94	20	1
95	20	0
96	20	0
97	20	0
98	20	0
99	21	0
